Id,Expected
deep,دیپ
education,اجوکیشن
robotics,روبات
queue,کیو
apple,اپل
keyboard,کیبورد
application,اپلاکیشن
time,تایم
logic,لاجیک
example,اگزمپل
chrome,کروم
neural,نورل
supervised,سوپروایزد
football,فوتبال
see,سی
detection,دیتکشن
launch,لانچ
signal,سیگنل
program,پروگرم
overfit,اورفیت
test,تست
lionel,لینایل
code,کود
pizza,پیتسا
underfit,آندرفیت
operating system,آپریتینگ سیستم
wound,ووند
tower,تاور
embedded,امبدید
data,دیتا
research,ریسرچ
speech,اسپیچ
android,اندرید
persian,پرژن
process,پراسس
music,میوزیک
digest,دایجست
develop,دیولاپ
ontology,نتلگی
feature,فیچر
computer,کمپیوتر
virtual,ورچول
computer vision,کمپیوتر ویژن
eat,ایت
windows,ویندوز
formal,فورمل
people,پیپل
small,اسمال
art,ارت
general,جنرل
concern,کنسرن
software,سافویر
object,ابجکت
biology,بایالاجی
subject,سابجیکت
interrupt,اینتایرروپت
moderate,مادریت
type,تایپ
machine learning,ماشین لرنینگ
security,سیکیوراتی
share,شیر
current,کارنت
space,اسپیس
reinforcement,رایینفرسایماینت
resolution,رزلوشن
field,فیلد
goal,گول
industry,انداستری
inbox,اینبکس
information,انفورمیشن
render,رندر
left,لفت
red,رد
face,فیس
camera,کمرا
image,امیج
frame,فریم
network,نتورک
terminal,ترمنل
hardware,هاردویر
memory,ممری
architecture,ارکاتکچر
server,سرور
ubuntu,ابونتو
state,استیت
engineering,انجونیرینگ
knowledge,نالیج
control,کنترول
orange,آرینج
lunch,لنچ
perception,پرسپشن
regularization,رایگولریزتین
online,آنلاین
technology,تکنالاجی
linux,لیناگز
reference,رفرنس
planning,پلنینگ
science,ساینس
email,ایمیل
artificial intelligence,ارتافیشل انتلیجنس
