a,ə
aa,eɪeɪ
aaa,ˌtrɪpəˈleɪ
aaron,ˈɛrən
ab,æb
abandoned,əˈbændənd
abc,ˈeɪˌbiˌsi
aberdeen,ˈæbərˌdin
abilities,əˈbɪləˌtiz
ability,əˈbɪləˌti
able,ˈeɪbəl
aboriginal,ˌæbərˈɪʤənəl
abortion,əˈbɔrʃən
about,əˈbaʊt
above,əˈbəv
abraham,ˈeɪbrəˌhæm
abroad,əˈbrɔd
abs,ˈeɪˈbiˈɛs
absence,ˈæbsəns
absent,ˈæbsənt
absolute,ˈæbsəˌlut
absolutely,ˌæbsəˈlutli
absorption,əbˈzɔrpʃən
abstract,ˈæbˌstrækt
abstracts,ˈæbstrækts
abu,ˈæbu
abuse,əˈbjuz
ac,ˈeɪˈsi
academic,ˌækəˈdɛmɪk
academics,ˌækəˈdɛmɪks
academy,əˈkædəmi
acc,acc*
accent,ˈækˌsɛnt
accept,əkˈsɛpt
acceptable,əkˈsɛptəbəl
acceptance,əkˈsɛptəns
accepted,ækˈsɛptɪd
accepting,əkˈsɛptɪŋ
accepts,ækˈsɛpts
access,ˈækˌsɛs
accessed,ˈækˌsɛst
accessibility,ˌæksɛsəˈbɪlɪti
accessible,ækˈsɛsəbəl
accessing,ˈækˌsɛsɪŋ
accessories,ækˈsɛsəriz
accessory,ækˈsɛsəri
accident,ˈæksədənt
accidents,ˈæksədənts
accommodate,əˈkɑməˌdeɪt
accommodation,əˌkɑməˈdeɪʃən
accommodations,əˌkɑməˈdeɪʃənz
accompanied,əˈkəmpənid
accompanying,əˈkəmpəniɪŋ
accomplish,əˈkɑmplɪʃ
accomplished,əˈkɑmplɪʃt
accordance,əˈkɔrdəns
according,əˈkɔrdɪŋ
accordingly,əˈkɔrdɪŋli
account,əˈkaʊnt
accountability,əˈkaʊntəˌbɪlɪti
accounting,əˈkaʊnɪŋ
accounts,əˈkaʊnts
accreditation,əˌkrɛdəˈteɪʃən
accredited,əˈkrɛdɪtɪd
accuracy,ˈækjərəsi
accurate,ˈækjərət
accurately,ˈækjərətli
accused,əˈkjuzd
acdbentity,acdbentity*
ace,eɪs
acer,ˈeɪsər
achieve,əˈʧiv
achieved,əˈʧivd
achievement,əˈʧivmənt
achievements,əˈʧivmənts
achieving,əˈʧivɪŋ
acid,ˈæsəd
acids,ˈæsədz
acknowledge,ækˈnɑlɪʤ
acknowledged,ækˈnɑlɪʤd
acm,acm*
acne,ˈækni
acoustic,əˈkustɪk
acquire,əkˈwaɪər
acquired,əkˈwaɪərd
acquisition,ˌækwəˈzɪʃən
acquisitions,ˌækwəˈzɪʃənz
acre,ˈeɪkər
acres,ˈeɪkərz
acrobat,ˈækrəˌbæt
across,əˈkrɔs
acrylic,əˈkrɪlɪk
act,ækt
acting,ˈæktɪŋ
action,ˈækʃən
actions,ˈækʃənz
activated,ˈæktɪˌveɪtɪd
activation,ˌæktəˈveɪʃən
active,ˈæktɪv
actively,ˈæktɪvli
activists,ˈæktɪvɪsts
activities,ækˈtɪvɪtiz
activity,ækˈtɪvɪti
actor,ˈæktər
actors,ˈæktərz
actress,ˈæktrəs
acts,ækts
actual,ˈækʧəwəl
actually,ˈæˌkʧuəli
acute,əˈkjut
ad,æd
ada,ˈeɪdə
adam,ˈædəm
adams,ˈædəmz
adaptation,ˌædəpˈteɪʃən
adapted,əˈdæptɪd
adapter,əˈdæptər
adapters,əˈdæptərz
adaptive,əˈdæptɪv
